variant,process,temp_c,vdd_v,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,tt,85.0,3.6,0x80,743.1659,349.405,41.43008362662381,tt_T+085C_V3p6_code0x80.log
as-committed,ff,-40.0,3.0,0x80,638.9578,267.425,47.87940900530288,ff_T-040C_V3p0_code0x80.log
as-committed,ff,-40.0,3.3,0x80,801.7259,310.366,50.11306760879233,ff_T-040C_V3p3_code0x80.log
as-committed,ff,-40.0,3.6,0x80,979.8167,358.521,51.98032025075306,ff_T-040C_V3p6_code0x80.log
as-committed,ff,27.0,3.0,0x80,680.3476,338.276,51.24428818352835,ff_T+027C_V3p0_code0x80.log
as-committed,ff,27.0,3.3,0x80,819.8114,380.718,53.41583587236606,ff_T+027C_V3p3_code0x80.log
as-committed,ff,27.0,3.6,0x80,971.706,426.289,55.33853626251273,ff_T+027C_V3p6_code0x80.log
as-committed,ff,85.0,3.0,0x80,736.8245,404.981,55.70056268708426,ff_T+085C_V3p0_code0x80.log
as-committed,ff,85.0,3.3,0x80,866.6077,452.267,56.4312908121676,ff_T+085C_V3p3_code0x80.log
as-committed,ff,85.0,3.6,0x80,1002.951,498.054,57.66422410624056,ff_T+085C_V3p6_code0x80.log
as-committed,ss,-40.0,3.0,0x80,175.2082,132.693,23.99427976370433,ss_T-040C_V3p0_code0x80.log
as-committed,ss,-40.0,3.3,0x80,164.8221,154.404,26.12285841541353,ss_T-040C_V3p3_code0x80.log
as-committed,ss,-40.0,3.6,0x80,534.5156,180.492,27.53231950155489,ss_T-040C_V3p6_code0x80.log
as-committed,ss,27.0,3.0,0x80,203.2426,170.975,26.4470503604733,ss_T+027C_V3p0_code0x80.log
as-committed,ss,27.0,3.3,0x80,157.1621,193.772,28.213838323420866,ss_T+027C_V3p3_code0x80.log
as-committed,ss,27.0,3.6,0x80,537.6461,219.517,29.545501549661555,ss_T+027C_V3p6_code0x80.log
as-committed,ss,85.0,3.0,0x80,379.0401,207.564,28.025217090337886,ss_T+085C_V3p0_code0x80.log
as-committed,ss,85.0,3.3,0x80,463.3378,231.739,29.624143677096832,ss_T+085C_V3p3_code0x80.log
as-committed,ss,85.0,3.6,0x80,557.7765,257.887,30.91548479344592,ss_T+085C_V3p6_code0x80.log
as-committed,fs,-40.0,3.0,0x80,126.8839,198.184,35.635759772216225,fs_T-040C_V3p0_code0x80.log
as-committed,fs,-40.0,3.3,0x80,585.3113,233.091,37.27928334305702,fs_T-040C_V3p3_code0x80.log
as-committed,fs,-40.0,3.6,0x80,736.7227,272.625,38.735142651846594,fs_T-040C_V3p6_code0x80.log
as-committed,fs,27.0,3.0,0x80,482.6423,247.201,38.23740842140683,fs_T+027C_V3p0_code0x80.log
as-committed,fs,27.0,3.3,0x80,598.9672,280.973,39.85659596770819,fs_T+027C_V3p3_code0x80.log
as-committed,fs,27.0,3.6,0x80,727.9521,318.038,41.32666871922456,fs_T+027C_V3p6_code0x80.log
as-committed,fs,85.0,3.0,0x80,525.4022,294.377,41.987080575306976,fs_T+085C_V3p0_code0x80.log
as-committed,fs,85.0,3.3,0x80,630.9622,329.404,42.27395850176864,fs_T+085C_V3p3_code0x80.log
as-committed,fs,85.0,3.6,0x80,746.1765,365.811,43.12675903268405,fs_T+085C_V3p6_code0x80.log
as-committed,sf,-40.0,3.0,0x80,218.4641,173.326,31.344375956982983,sf_T-040C_V3p0_code0x80.log
as-committed,sf,-40.0,3.3,0x80,187.2546,200.429,33.81154123148396,sf_T-040C_V3p3_code0x80.log
as-committed,sf,-40.0,3.6,0x80,719.9813,231.942,35.512372510582686,sf_T-040C_V3p6_code0x80.log
as-committed,sf,27.0,3.0,0x80,480.3006,224.543,34.23280015747088,sf_T+027C_V3p0_code0x80.log
as-committed,sf,27.0,3.3,0x80,592.9822,252.843,36.37130740301591,sf_T+027C_V3p3_code0x80.log
as-committed,sf,27.0,3.6,0x80,717.865,284.414,38.028597505324,sf_T+027C_V3p6_code0x80.log
as-committed,sf,85.0,3.0,0x80,528.0936,274.294,36.160349453617116,sf_T+085C_V3p0_code0x80.log
as-committed,sf,85.0,3.3,0x80,630.3322,304.869,38.127192313558034,sf_T+085C_V3p3_code0x80.log
as-committed,sf,85.0,3.6,0x80,742.2954,337.209,39.758190684258345,sf_T+085C_V3p6_code0x80.log
as-committed,rc_f,-40.0,3.0,0x80,496.9442,236.912,43.49215945095498,rc_f_T-040C_V3p0_code0x80.log
as-committed,rc_f,-40.0,3.3,0x80,151.108,272.714,46.08817405106755,rc_f_T-040C_V3p3_code0x80.log
as-committed,rc_f,-40.0,3.6,0x80,785.2744,313.415,48.227250663305554,rc_f_T-040C_V3p6_code0x80.log
as-committed,rc_f,27.0,3.0,0x80,560.7569,309.728,46.641377711671396,rc_f_T+027C_V3p0_code0x80.log
as-committed,rc_f,27.0,3.3,0x80,678.9565,347.187,49.17474935630253,rc_f_T+027C_V3p3_code0x80.log
as-committed,rc_f,27.0,3.6,0x80,809.5405,387.595,51.24975079808675,rc_f_T+027C_V3p6_code0x80.log
as-committed,rc_f,85.0,3.0,0x80,620.4685,367.657,52.114574935286726,rc_f_T+085C_V3p0_code0x80.log
as-committed,rc_f,85.0,3.3,0x80,741.0535,417.735,52.57547538087646,rc_f_T+085C_V3p3_code0x80.log
as-committed,rc_f,85.0,3.6,0x80,863.2783,463.045,53.84746896703054,rc_f_T+085C_V3p6_code0x80.log
as-committed,rc_s,-40.0,3.0,0x80,414.3587,150.709,27.03667254263683,rc_s_T-040C_V3p0_code0x80.log
as-committed,rc_s,-40.0,3.3,0x80,110.9307,178.336,28.461526420123434,rc_s_T-040C_V3p3_code0x80.log
as-committed,rc_s,-40.0,3.6,0x80,693.114,210.55,29.651593773165303,rc_s_T-040C_V3p6_code0x80.log
as-committed,rc_s,27.0,3.0,0x80,434.3082,188.603,29.24374220471497,rc_s_T+027C_V3p0_code0x80.log
as-committed,rc_s,27.0,3.3,0x80,546.9061,215.763,30.631108034386486,rc_s_T+027C_V3p3_code0x80.log
as-committed,rc_s,27.0,3.6,0x80,671.6531,245.937,31.824329700055692,rc_s_T+027C_V3p6_code0x80.log
as-committed,rc_s,85.0,3.0,0x80,463.3284,224.915,30.776806598547335,rc_s_T+085C_V3p0_code0x80.log
as-committed,rc_s,85.0,3.3,0x80,564.3778,252.212,32.10741857959991,rc_s_T+085C_V3p3_code0x80.log
as-committed,rc_s,85.0,3.6,0x80,675.4248,282.01,33.31645299714811,rc_s_T+085C_V3p6_code0x80.log
as-committed,tt,-40.0,3.0,0xC0,445.0769,201.01,40.43581723819325,tt_T-040C_V3p0_code0xC0.log
as-committed,tt,-40.0,3.3,0xC0,578.5792,235.573,43.86111115984567,tt_T-040C_V3p3_code0xC0.log
as-committed,tt,-40.0,3.6,0xC0,727.6642,275.419,46.967783388340436,tt_T-040C_V3p6_code0xC0.log
as-committed,tt,27.0,3.0,0xC0,480.3706,254.29,43.70416389236276,tt_T+027C_V3p0_code0xC0.log
as-committed,tt,27.0,3.3,0xC0,595.0516,288.666,47.064847829933996,tt_T+027C_V3p3_code0xC0.log
as-committed,tt,27.0,3.6,0xC0,722.0697,327.282,50.20194989393583,tt_T+027C_V3p6_code0xC0.log
as-committed,tt,85.0,3.0,0xC0,525.509,305.203,46.10998846097539,tt_T+085C_V3p0_code0xC0.log
as-committed,tt,85.0,3.3,0xC0,629.4051,340.942,49.32815058897812,tt_T+085C_V3p3_code0xC0.log
as-committed,tt,85.0,3.6,0xC0,743.1659,379.67,52.381045918534376,tt_T+085C_V3p6_code0xC0.log
as-committed,ff,-40.0,3.0,0xC0,638.9578,292.542,59.016844292613776,ff_T-040C_V3p0_code0xC0.log
as-committed,ff,-40.0,3.3,0xC0,801.7259,341.03,63.411259430046925,ff_T-040C_V3p3_code0xC0.log
as-committed,ff,-40.0,3.6,0xC0,979.8167,395.609,67.72310190769205,ff_T-040C_V3p6_code0xC0.log
as-committed,ff,27.0,3.0,0xC0,680.3476,366.819,63.18939631378338,ff_T+027C_V3p0_code0xC0.log
as-committed,ff,27.0,3.3,0xC0,819.8114,414.525,67.71558101661402,ff_T+027C_V3p3_code0xC0.log
as-committed,ff,27.0,3.6,0xC0,971.706,466.807,71.95445570771524,ff_T+027C_V3p6_code0xC0.log
as-committed,ff,85.0,3.0,0xC0,736.8245,438.748,69.43742837095279,ff_T+085C_V3p0_code0xC0.log
as-committed,ff,85.0,3.3,0xC0,866.6078,490.146,71.71975362830234,ff_T+085C_V3p3_code0xC0.log
as-committed,ff,85.0,3.6,0xC0,1002.958,541.854,74.82985561579359,ff_T+085C_V3p6_code0xC0.log
as-committed,ss,-40.0,3.0,0xC0,227.6875,146.27,27.916663177083773,ss_T-040C_V3p0_code0xC0.log
as-committed,ss,-40.0,3.3,0xC0,145.5672,169.772,31.333916144173614,ss_T-040C_V3p3_code0xC0.log
as-committed,ss,-40.0,3.6,0xC0,534.5156,198.88,33.86518608073122,ss_T-040C_V3p6_code0xC0.log
as-committed,ss,27.0,3.0,0xC0,311.9025,186.073,30.927532153035614,ss_T+027C_V3p0_code0xC0.log
as-committed,ss,27.0,3.3,0xC0,124.426,211.023,33.88986133963233,ss_T+027C_V3p3_code0xC0.log
as-committed,ss,27.0,3.6,0xC0,537.6461,239.794,36.36039698281426,ss_T+027C_V3p6_code0xC0.log
as-committed,ss,85.0,3.0,0xC0,379.0401,224.349,32.87440661696056,ss_T+085C_V3p0_code0xC0.log
as-committed,ss,85.0,3.3,0xC0,463.3378,250.845,35.63988744923543,ss_T+085C_V3p3_code0xC0.log
