basis,process,temp_c,vdd_v,trim_code,trim_hex,status,f_mhz,period_ns,vh_v,vl_v,t_cmp_h_ns,t_lat_h_ns,t_cmp_l_ns,t_lat_l_ns,t_fall_ns,charge_ns,dsum_ns,overshoot_mv,tstop_ns,seconds,log
ratified,fs,27,3,155,0x9B,ok,46.729213,21.3999,1.999650,0.999890,2.1287,0.5898,1.6047,0.2478,0.0798,16.7473,4.5705,142.20,1200,22.5,sim/pvt/corners/20260922T004823Z/ratified_fs_T+027C_V3p0_code0x9B.log
ratified,fs,27,3.3,155,0x9B,ok,48.061444,20.8067,2.199582,1.099767,2.1350,0.5360,1.2843,0.2269,0.0643,16.5559,4.1827,153.66,1200,22.0,sim/pvt/corners/20260922T004823Z/ratified_fs_T+027C_V3p3_code0x9B.log
ratified,fs,27,3.6,155,0x9B,ok,49.022889,20.3986,2.399662,1.199815,2.1225,0.4962,1.0931,0.2121,0.0474,16.4289,3.9230,169.05,1200,22.0,sim/pvt/corners/20260922T004823Z/ratified_fs_T+027C_V3p6_code0x9B.log
ratified,fs,85,3,155,0x9B,ok,49.369264,20.2555,1.999491,0.999845,1.3518,0.6660,1.5982,0.2712,0.0805,16.2842,3.8870,107.71,1200,21.7,sim/pvt/corners/20260922T004823Z/ratified_fs_T+085C_V3p0_code0x9B.log
ratified,fs,85,3.3,155,0x9B,ok,49.592121,20.1645,2.199569,1.100043,1.8383,0.6048,1.3237,0.2465,0.0657,16.0855,4.0132,141.93,1200,21.9,sim/pvt/corners/20260922T004823Z/ratified_fs_T+085C_V3p3_code0x9B.log
ratified,fs,85,3.6,155,0x9B,ok,50.165237,19.9341,2.399453,1.199885,2.0240,0.5613,1.1317,0.2317,0.0554,15.9283,3.9497,170.74,1200,22.9,sim/pvt/corners/20260922T004823Z/ratified_fs_T+085C_V3p6_code0x9B.log
ratified,rc_f,-40,3,88,0x58,ok,44.049423,22.7018,1.999760,0.999916,1.9878,0.4686,2.1673,0.2522,0.0789,17.7433,4.8763,133.67,1200,33.6,sim/pvt/corners/20260922T004823Z/ratified_rc_f_T-040C_V3p0_code0x58.log
ratified,rc_f,-40,3.3,88,0x58,ok,45.921408,21.7763,2.199721,1.099949,1.9455,0.4313,1.5082,0.2274,0.0608,17.6041,4.1136,138.06,1200,35.2,sim/pvt/corners/20260922T004823Z/ratified_rc_f_T-040C_V3p3_code0x58.log
ratified,rc_f,-40,3.6,88,0x58,ok,47.195903,21.1883,2.399555,1.199672,1.9016,0.4013,1.1779,0.2101,0.0471,17.4523,3.6912,149.38,1200,34.3,sim/pvt/corners/20260922T004823Z/ratified_rc_f_T-040C_V3p6_code0x58.log
ratified,rc_f,27,3,88,0x58,ok,46.357815,21.5713,1.999586,0.999885,1.7920,0.5567,2.0322,0.2859,0.0895,16.8166,4.6668,132.48,1200,38.7,sim/pvt/corners/20260922T004823Z/ratified_rc_f_T+027C_V3p0_code0x58.log
ratified,rc_f,27,3.3,88,0x58,ok,48.087233,20.7955,2.199712,1.099885,1.8125,0.5152,1.5126,0.2579,0.0719,16.6243,4.0993,140.81,1200,38.2,sim/pvt/corners/20260922T004823Z/ratified_rc_f_T+027C_V3p3_code0x58.log
ratified,rc_f,27,3.6,88,0x58,ok,49.307370,20.2809,2.399767,1.200005,1.8099,0.4793,1.2168,0.2369,0.0529,16.4865,3.7419,152.03,1200,39.0,sim/pvt/corners/20260922T004823Z/ratified_rc_f_T+027C_V3p6_code0x58.log
ratified,rc_f,85,3,88,0x58,ok,50.113276,19.9548,1.999962,1.000046,0.6616,0.6373,1.9358,0.3111,0.0914,16.3219,3.5457,72.20,1200,36.1,sim/pvt/corners/20260922T004823Z/ratified_rc_f_T+085C_V3p0_code0x58.log
ratified,rc_f,85,3.3,88,0x58,ok,50.214789,19.9145,2.199401,1.099937,1.2866,0.5821,1.5343,0.2848,0.0751,16.1480,3.6864,114.62,1200,37.2,sim/pvt/corners/20260922T004823Z/ratified_rc_f_T+085C_V3p3_code0x58.log
ratified,rc_f,85,3.6,88,0x58,ok,50.809100,19.6815,2.399557,1.199915,1.5394,0.5440,1.2734,0.2611,0.0620,15.9982,3.6176,138.45,1200,37.4,sim/pvt/corners/20260922T004823Z/ratified_rc_f_T+085C_V3p6_code0x58.log
ratified,rc_s,-40,3,190,0xBE,ok,44.011187,22.7215,1.999763,0.999903,2.4140,0.4670,2.3825,0.2609,0.1082,17.0839,5.5243,157.14,1200,39.2,sim/pvt/corners/20260922T004823Z/ratified_rc_s_T-040C_V3p0_code0xBE.log
ratified,rc_s,-40,3.3,190,0xBE,ok,46.319412,21.5892,2.199841,1.100066,2.3114,0.4321,1.7216,0.2313,0.0888,16.8026,4.7000,162.81,1200,157.0,sim/pvt/corners/20260922T004823Z/ratified_rc_s_T-040C_V3p3_code0xBE.log
ratified,rc_s,-40,3.6,190,0xBE,ok,47.765326,20.9357,2.399721,1.200000,2.2130,0.3999,1.3949,0.2150,0.0751,16.6376,4.2205,168.70,1200,39.8,sim/pvt/corners/20260922T004823Z/ratified_rc_s_T-040C_V3p6_code0xBE.log
ratified,rc_s,27,3,190,0xBE,ok,46.062214,21.7098,2.000002,1.000109,2.3291,0.5611,2.1340,0.2903,0.1280,16.2644,5.3131,159.72,1200,38.3,sim/pvt/corners/20260922T004823Z/ratified_rc_s_T+027C_V3p0_code0xBE.log
ratified,rc_s,27,3.3,190,0xBE,ok,48.117249,20.7826,2.199676,1.099839,2.2767,0.5122,1.6324,0.2636,0.1052,15.9931,4.6847,168.15,1200,38.9,sim/pvt/corners/20260922T004823Z/ratified_rc_s_T+027C_V3p3_code0xBE.log
ratified,rc_s,27,3.6,190,0xBE,ok,49.520370,20.1937,2.399698,1.199902,2.2179,0.4780,1.3497,0.2416,0.0879,15.8195,4.2876,183.66,1200,39.4,sim/pvt/corners/20260922T004823Z/ratified_rc_s_T+027C_V3p6_code0xBE.log
ratified,rc_s,85,3,190,0xBE,ok,47.135383,21.2155,1.999718,0.999805,2.2422,0.6373,2.0469,0.3172,0.1384,15.8353,5.2422,159.09,1200,37.2,sim/pvt/corners/20260922T004823Z/ratified_rc_s_T+085C_V3p0_code0xBE.log
ratified,rc_s,85,3.3,190,0xBE,ok,49.043908,20.3899,2.199681,1.099786,2.2230,0.5796,1.6170,0.2872,0.1154,15.5675,4.7069,169.42,1200,38.3,sim/pvt/corners/20260922T004823Z/ratified_rc_s_T+085C_V3p3_code0xBE.log
ratified,rc_s,85,3.6,190,0xBE,ok,50.448761,19.8221,2.399509,1.199656,2.1948,0.5432,1.3509,0.2656,0.0985,15.3696,4.3553,186.35,1200,38.1,sim/pvt/corners/20260922T004823Z/ratified_rc_s_T+085C_V3p6_code0xBE.log
ratified,sf,-40,3,163,0xA3,ok,42.169000,23.7141,1.999833,0.999875,2.2221,0.4600,3.5664,0.3192,0.1276,17.0225,6.5672,152.99,1200,28.8,sim/pvt/corners/20260922T004823Z/ratified_sf_T-040C_V3p0_code0xA3.log
ratified,sf,-40,3.3,163,0xA3,ok,45.693920,21.8847,2.199825,1.099886,2.1666,0.4236,2.1631,0.2718,0.1027,16.7591,5.0253,161.71,1200,30.9,sim/pvt/corners/20260922T004823Z/ratified_sf_T-040C_V3p3_code0xA3.log
ratified,sf,-40,3.6,163,0xA3,ok,47.628187,20.9960,2.399746,1.200040,2.0986,0.3912,1.5752,0.2476,0.0926,16.5877,4.3102,163.98,1200,32.3,sim/pvt/corners/20260922T004823Z/ratified_sf_T-040C_V3p6_code0xA3.log
ratified,sf,27,3,163,0xA3,ok,45.382599,22.0349,1.999916,1.000035,2.0768,0.5424,2.9039,0.3457,0.1493,16.0191,5.8696,151.78,1200,30.0,sim/pvt/corners/20260922T004823Z/ratified_sf_T+027C_V3p0_code0xA3.log
ratified,sf,27,3.3,163,0xA3,ok,48.153813,20.7668,2.199681,1.099860,2.0601,0.4981,1.9959,0.3044,0.1262,15.7839,4.8591,163.56,1200,33.3,sim/pvt/corners/20260922T004823Z/ratified_sf_T+027C_V3p3_code0xA3.log
ratified,sf,27,3.6,163,0xA3,ok,49.938977,20.0244,2.399602,1.199833,2.0268,0.4640,1.5290,0.2799,0.1076,15.6173,4.2995,171.97,1200,33.0,sim/pvt/corners/20260922T004823Z/ratified_sf_T+027C_V3p6_code0xA3.log
ratified,sf,85,3,163,0xA3,ok,47.161563,21.2037,1.999716,0.999825,1.9231,0.6106,2.6425,0.3738,0.1630,15.4838,5.5504,150.29,1200,31.9,sim/pvt/corners/20260922T004823Z/ratified_sf_T+085C_V3p0_code0xA3.log
ratified,sf,85,3.3,163,0xA3,ok,49.564357,20.1758,2.199899,1.100020,1.9318,0.5678,1.9445,0.3336,0.1352,15.2635,4.7783,161.58,1200,32.3,sim/pvt/corners/20260922T004823Z/ratified_sf_T+085C_V3p3_code0xA3.log
ratified,sf,85,3.6,163,0xA3,ok,51.241702,19.5154,2.399711,1.199932,1.9295,0.5300,1.5428,0.3059,0.1149,15.0913,4.3092,173.22,1200,32.8,sim/pvt/corners/20260922T004823Z/ratified_sf_T+085C_V3p6_code0xA3.log
ratified,ss,-40,3,207,0xCF,ok,40.454157,24.7193,1.999843,0.999894,2.5270,0.5577,5.0001,0.3556,0.1615,16.1174,8.4416,176.76,1200,27.3,sim/pvt/corners/20260922T004823Z/ratified_ss_T-040C_V3p0_code0xCF.log
ratified,ss,-40,3.3,207,0xCF,ok,45.764324,21.8511,2.199907,1.099947,2.4425,0.5065,2.8398,0.2911,0.1293,15.6431,6.0799,189.68,1200,27.0,sim/pvt/corners/20260922T004823Z/ratified_ss_T-040C_V3p3_code0xCF.log
ratified,ss,-40,3.6,207,0xCF,ok,48.761902,20.5078,2.399755,1.199938,2.3557,0.4703,2.0066,0.2625,0.1099,15.3112,5.0908,192.59,1200,27.9,sim/pvt/corners/20260922T004823Z/ratified_ss_T-040C_V3p6_code0xCF.log
ratified,ss,27,3,207,0xCF,ok,44.010563,22.7218,1.999799,0.999823,2.4113,0.6649,3.8038,0.3757,0.1857,15.2830,7.2559,182.48,1200,26.7,sim/pvt/corners/20260922T004823Z/ratified_ss_T+027C_V3p0_code0xCF.log
ratified,ss,27,3.3,207,0xCF,ok,48.038642,20.8166,2.199927,1.099997,2.3676,0.6047,2.5125,0.3249,0.1505,14.8574,5.8096,189.68,1200,26.6,sim/pvt/corners/20260922T004823Z/ratified_ss_T+027C_V3p3_code0xCF.log
ratified,ss,27,3.6,207,0xCF,ok,50.685666,19.7294,2.399710,1.199826,2.3157,0.5563,1.8865,0.2935,0.1320,14.5431,5.0517,205.13,1200,26.6,sim/pvt/corners/20260922T004823Z/ratified_ss_T+027C_V3p6_code0xCF.log
ratified,ss,85,3,207,0xCF,ok,45.807108,21.8307,1.999801,0.999856,2.2892,0.7508,3.3407,0.4012,0.2058,14.8435,6.7819,177.57,1200,21.7,sim/pvt/corners/20260922T004823Z/ratified_ss_T+085C_V3p0_code0xCF.log
ratified,ss,85,3.3,207,0xCF,ok,49.225658,20.3146,2.199680,1.099801,2.2876,0.6825,2.3856,0.3547,0.1701,14.4347,5.7092,193.37,1200,21.2,sim/pvt/corners/20260922T004823Z/ratified_ss_T+085C_V3p3_code0xCF.log
ratified,ss,85,3.6,207,0xCF,ok,51.652048,19.3603,2.399939,1.200013,2.2553,0.6293,1.8612,0.3236,0.1468,14.1436,5.0695,206.51,1200,21.2,sim/pvt/corners/20260922T004823Z/ratified_ss_T+085C_V3p6_code0xCF.log
ratified,tt,-40,3,157,0x9D,ok,43.795928,22.8332,1.999702,0.999795,2.2334,0.4711,2.2661,0.2589,0.0985,17.5055,5.2296,145.34,1200,34.2,sim/pvt/corners/20260922T004823Z/ratified_tt_T-040C_V3p0_code0x9D.log
ratified,tt,-40,3.3,157,0x9D,ok,45.899194,21.7869,2.199745,1.099976,2.1607,0.4325,1.6053,0.2277,0.0825,17.2749,4.4273,152.15,1200,34.4,sim/pvt/corners/20260922T004823Z/ratified_tt_T-040C_V3p3_code0x9D.log
ratified,tt,-40,3.6,157,0x9D,ok,47.154938,21.2067,2.399661,1.199762,2.0851,0.3998,1.2783,0.2138,0.0664,17.1590,3.9760,157.28,1200,33.3,sim/pvt/corners/20260922T004823Z/ratified_tt_T-040C_V3p6_code0x9D.log
ratified,tt,27,3,157,0x9D,ok,46.069056,21.7065,1.999812,1.000026,2.1162,0.5622,2.0707,0.2858,0.1148,16.5603,5.0374,144.73,1200,34.0,sim/pvt/corners/20260922T004823Z/ratified_tt_T+027C_V3p0_code0x9D.log
ratified,tt,27,3.3,157,0x9D,ok,47.915805,20.8699,2.199746,1.099895,2.0868,0.5123,1.5586,0.2610,0.0939,16.3555,4.4185,153.97,1200,34.5,sim/pvt/corners/20260922T004823Z/ratified_tt_T+027C_V3p3_code0x9D.log
ratified,tt,27,3.6,157,0x9D,ok,49.179169,20.3338,2.399674,1.199904,2.0502,0.4782,1.2659,0.2401,0.0795,16.2164,4.0335,167.22,1200,34.2,sim/pvt/corners/20260922T004823Z/ratified_tt_T+027C_V3p6_code0x9D.log
ratified,tt,85,3,157,0x9D,ok,47.447655,21.0759,1.999608,0.999828,1.9141,0.6332,2.0094,0.3145,0.1289,16.0778,4.8725,142.96,1200,31.4,sim/pvt/corners/20260922T004823Z/ratified_tt_T+085C_V3p0_code0x9D.log
ratified,tt,85,3.3,157,0x9D,ok,49.040702,20.3912,2.199644,1.099860,1.9677,0.5819,1.5762,0.2843,0.1061,15.8733,4.4116,159.45,1200,34.0,sim/pvt/corners/20260922T004823Z/ratified_tt_T+085C_V3p3_code0x9D.log
ratified,tt,85,3.6,157,0x9D,ok,50.246630,19.9018,2.399601,1.199874,1.9761,0.5451,1.3048,0.2638,0.0877,15.7243,4.0885,172.76,1200,33.9,sim/pvt/corners/20260922T004823Z/ratified_tt_T+085C_V3p6_code0x9D.log
surrogate,ff,-40,3,33,0x21,ok,38.525035,25.9571,1.999697,0.999855,2.0295,0.4053,1.2889,0.2057,0.0520,21.9738,3.9225,105.95,1200,38.0,sim/pvt/corners/20260922T004823Z/surrogate_ff_T-040C_V3p0_code0x21.log
surrogate,ff,-40,3.3,33,0x21,ok,39.260358,25.4710,2.199723,1.099934,1.9833,0.3743,1.0177,0.1862,0.0407,21.8692,3.5615,114.11,1200,37.5,sim/pvt/corners/20260922T004823Z/surrogate_ff_T-040C_V3p3_code0x21.log
surrogate,ff,-40,3.6,33,0x21,ok,39.754349,25.1545,2.399704,1.199823,1.9374,0.3553,0.8638,0.1758,0.0317,21.7961,3.3295,120.11,1200,36.0,sim/pvt/corners/20260922T004823Z/surrogate_ff_T-040C_V3p6_code0x21.log
surrogate,ff,27,3,33,0x21,ok,40.590535,24.6363,1.999636,0.999865,1.8649,0.4810,1.3050,0.2317,0.0532,20.6973,3.8833,102.08,1200,36.3,sim/pvt/corners/20260922T004823Z/surrogate_ff_T+027C_V3p0_code0x21.log
surrogate,ff,27,3.3,33,0x21,ok,41.291017,24.2183,2.199535,1.099727,1.8832,0.4457,1.0601,0.2167,0.0432,20.5722,3.6025,115.14,1200,35.6,sim/pvt/corners/20260922T004823Z/surrogate_ff_T+027C_V3p3_code0x21.log
surrogate,ff,27,3.6,33,0x21,ok,41.788862,23.9298,2.399736,1.199833,1.8791,0.4217,0.9020,0.1983,0.0309,20.4985,3.4025,125.55,1200,33.9,sim/pvt/corners/20260922T004823Z/surrogate_ff_T+027C_V3p6_code0x21.log
surrogate,ff,85,3,33,0x21,ok,42.985014,23.2639,1.999390,0.999855,1.0687,0.5506,1.3184,0.2569,0.0533,20.0198,3.1945,75.10,1200,34.2,sim/pvt/corners/20260922T004823Z/surrogate_ff_T+085C_V3p0_code0x21.log
surrogate,ff,85,3.3,33,0x21,ok,42.888210,23.3164,2.199271,1.099765,1.5148,0.5090,1.1103,0.2386,0.0459,19.8975,3.3729,103.96,1200,35.5,sim/pvt/corners/20260922T004823Z/surrogate_ff_T+085C_V3p3_code0x21.log
surrogate,ff,85,3.6,33,0x21,ok,43.203758,23.1461,2.399226,1.199704,1.6859,0.4789,0.9563,0.2212,0.0310,19.7769,3.3423,119.29,1200,35.4,sim/pvt/corners/20260922T004823Z/surrogate_ff_T+085C_V3p6_code0x21.log
surrogate,fs,-40,3,111,0x6F,ok,38.641486,25.8789,1.999732,0.999862,2.3411,0.5012,1.6540,0.2172,0.0540,21.1100,4.7140,125.39,1200,34.9,sim/pvt/corners/20260922T004823Z/surrogate_fs_T-040C_V3p0_code0x6F.log
surrogate,fs,-40,3.3,111,0x6F,ok,39.762532,25.1493,2.199835,1.099896,2.2700,0.4490,1.2975,0.1990,0.0382,20.8954,4.2158,129.47,1200,35.0,sim/pvt/corners/20260922T004823Z/surrogate_fs_T-040C_V3p3_code0x6F.log
surrogate,fs,-40,3.6,111,0x6F,ok,40.408399,24.7473,2.399430,1.199496,2.2145,0.4159,1.0945,0.1824,0.0306,20.8087,3.9088,141.60,1200,34.5,sim/pvt/corners/20260922T004823Z/surrogate_fs_T-040C_V3p6_code0x6F.log
surrogate,fs,27,3,111,0x6F,ok,40.309673,24.8079,1.999539,0.999803,2.2299,0.5889,1.6127,0.2484,0.0637,20.0682,4.6806,125.22,1200,34.0,sim/pvt/corners/20260922T004823Z/surrogate_fs_T+027C_V3p0_code0x6F.log
surrogate,fs,27,3.3,111,0x6F,ok,41.299243,24.2135,2.199721,1.099917,2.2440,0.5404,1.2947,0.2276,0.0442,19.8622,4.3069,142.66,1200,34.0,sim/pvt/corners/20260922T004823Z/surrogate_fs_T+027C_V3p3_code0x6F.log
surrogate,fs,27,3.6,111,0x6F,ok,42.042180,23.7856,2.399562,1.199690,2.2419,0.4970,1.1052,0.2059,0.0334,19.7044,4.0495,154.13,1200,33.5,sim/pvt/corners/20260922T004823Z/surrogate_fs_T+027C_V3p6_code0x6F.log
surrogate,fs,85,3,111,0x6F,ok,42.566822,23.4925,1.999605,0.999913,1.3335,0.6727,1.6016,0.2712,0.0621,19.5513,3.8790,88.59,1200,33.6,sim/pvt/corners/20260922T004823Z/surrogate_fs_T+085C_V3p0_code0x6F.log
surrogate,fs,85,3.3,111,0x6F,ok,42.632632,23.4562,2.199560,1.099922,1.9036,0.6078,1.3298,0.2470,0.0516,19.3159,4.0883,127.13,1200,34.6,sim/pvt/corners/20260922T004823Z/surrogate_fs_T+085C_V3p3_code0x6F.log
surrogate,fs,85,3.6,111,0x6F,ok,43.068878,23.2186,2.399626,1.199863,2.1209,0.5643,1.1332,0.2305,0.0367,19.1327,4.0492,153.82,1200,34.0,sim/pvt/corners/20260922T004823Z/surrogate_fs_T+085C_V3p6_code0x6F.log
surrogate,rc_f,-40,3,45,0x2D,ok,37.912244,26.3767,1.999758,0.999845,2.1178,0.4733,2.1668,0.2557,0.0798,21.2817,5.0137,121.19,1200,45.1,sim/pvt/corners/20260922T004823Z/surrogate_rc_f_T-040C_V3p0_code0x2D.log
surrogate,rc_f,-40,3.3,45,0x2D,ok,39.360103,25.4064,2.199631,1.099727,2.0775,0.4319,1.5079,0.2266,0.0633,21.0995,4.2442,128.13,1200,173.5,sim/pvt/corners/20260922T004823Z/surrogate_rc_f_T-040C_V3p3_code0x2D.log
surrogate,rc_f,-40,3.6,45,0x2D,ok,40.158975,24.9010,2.399480,1.199691,2.0316,0.4022,1.1850,0.2097,0.0451,21.0277,3.8282,130.55,1200,44.5,sim/pvt/corners/20260922T004823Z/surrogate_rc_f_T-040C_V3p6_code0x2D.log
surrogate,rc_f,27,3,45,0x2D,ok,40.095147,24.9407,1.999778,0.999973,1.8855,0.5669,2.0306,0.2847,0.0892,20.0775,4.7687,113.33,1200,41.8,sim/pvt/corners/20260922T004823Z/surrogate_rc_f_T+027C_V3p0_code0x2D.log
surrogate,rc_f,27,3.3,45,0x2D,ok,41.334144,24.1931,2.199812,1.099921,1.9165,0.5168,1.5169,0.2602,0.0693,19.9106,4.2077,127.99,1200,42.1,sim/pvt/corners/20260922T004823Z/surrogate_rc_f_T+027C_V3p3_code0x2D.log
surrogate,rc_f,27,3.6,45,0x2D,ok,42.157324,23.7207,2.399535,1.199668,1.9233,0.4794,1.2168,0.2386,0.0538,19.8080,3.8591,135.85,1200,42.3,sim/pvt/corners/20260922T004823Z/surrogate_rc_f_T+027C_V3p6_code0x2D.log
surrogate,rc_f,85,3,45,0x2D,ok,43.428328,23.0264,1.999528,0.999958,0.5834,0.6423,1.9377,0.3119,0.0884,19.4660,3.4749,53.85,1200,44.0,sim/pvt/corners/20260922T004823Z/surrogate_rc_f_T+085C_V3p0_code0x2D.log
surrogate,rc_f,85,3.3,45,0x2D,ok,43.284932,23.1027,2.199431,1.099891,1.3102,0.5851,1.5350,0.2843,0.0730,19.3155,3.7125,97.28,1200,44.8,sim/pvt/corners/20260922T004823Z/surrogate_rc_f_T+085C_V3p3_code0x2D.log
surrogate,rc_f,85,3.6,45,0x2D,ok,43.617431,22.9266,2.399239,1.199772,1.6118,0.5451,1.2771,0.2606,0.0605,19.1697,3.6946,121.21,1200,47.1,sim/pvt/corners/20260922T004823Z/surrogate_rc_f_T+085C_V3p6_code0x2D.log
