pass,process,fets_lib,res_lib,mimcap_lib,temp_c,vdd_v,trim_code,trim_hex,f_hz,f_mhz,period_s,status,tstop_ns,log,note
pretrim,tt,typical,res_typical,mimcap_typical,85,3.3,128,0x80,4.251031e+07,42.510310,2.352370e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+085C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,tt,typical,res_typical,mimcap_typical,85,3.6,128,0x80,4.335213e+07,43.352130,2.306692e-08,ok,1200,sim/pvt/corners/20260922T010039Z/tt_T+085C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,-40,3,128,0x80,5.160979e+07,51.609790,1.937617e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ff_T-040C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,-40,3.3,128,0x80,5.289642e+07,52.896420,1.890487e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ff_T-040C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,-40,3.6,128,0x80,5.366450e+07,53.664500,1.863429e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ff_T-040C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,27,3,128,0x80,5.423579e+07,54.235790,1.843801e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ff_T+027C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,27,3.3,128,0x80,5.547097e+07,55.470970,1.802745e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ff_T+027C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,27,3.6,128,0x80,5.642710e+07,56.427100,1.772198e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ff_T+027C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,85,3,128,0x80,5.733985e+07,57.339850,1.743988e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ff_T+085C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,85,3.3,128,0x80,5.755658e+07,57.556580,1.737421e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ff_T+085C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ff,ff,res_ff,mimcap_ff,85,3.6,128,0x80,5.813102e+07,58.131020,1.720252e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ff_T+085C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,-40,3,128,0x80,2.735477e+07,27.354770,3.655670e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ss_T-040C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,-40,3.3,128,0x80,2.949307e+07,29.493070,3.390626e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ss_T-040C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,-40,3.6,128,0x80,3.060924e+07,30.609240,3.266987e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ss_T-040C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,27,3,128,0x80,2.983212e+07,29.832120,3.352091e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ss_T+027C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,27,3.3,128,0x80,3.144608e+07,31.446080,3.180046e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ss_T+027C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,27,3.6,128,0x80,3.245418e+07,32.454180,3.081267e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ss_T+027C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,85,3,128,0x80,3.124025e+07,31.240250,3.200998e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ss_T+085C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,85,3.3,128,0x80,3.261328e+07,32.613280,3.066235e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ss_T+085C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,ss,ss,res_ss,mimcap_ss,85,3.6,128,0x80,3.352412e+07,33.524120,2.982926e-08,ok,1200,sim/pvt/corners/20260922T010039Z/ss_T+085C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,fs,fs,res_typical,mimcap_typical,-40,3,128,0x80,3.883054e+07,38.830540,2.575292e-08,ok,1200,sim/pvt/corners/20260922T010039Z/fs_T-040C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,fs,fs,res_typical,mimcap_typical,-40,3.3,128,0x80,3.979247e+07,39.792470,2.513038e-08,ok,1200,sim/pvt/corners/20260922T010039Z/fs_T-040C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,fs,fs,res_typical,mimcap_typical,-40,3.6,128,0x80,4.049474e+07,40.494740,2.469456e-08,ok,1200,sim/pvt/corners/20260922T010039Z/fs_T-040C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,fs,fs,res_typical,mimcap_typical,27,3,128,0x80,4.088911e+07,40.889110,2.445639e-08,ok,1200,sim/pvt/corners/20260922T010039Z/fs_T+027C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,fs,fs,res_typical,mimcap_typical,27,3.3,128,0x80,4.180383e+07,41.803830,2.392125e-08,ok,1200,sim/pvt/corners/20260922T010039Z/fs_T+027C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,fs,fs,res_typical,mimcap_typical,27,3.6,128,0x80,4.248761e+07,42.487610,2.353627e-08,ok,1200,sim/pvt/corners/20260922T010039Z/fs_T+027C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,fs,fs,res_typical,mimcap_typical,85,3,128,0x80,4.351918e+07,43.519180,2.297837e-08,ok,1200,sim/pvt/corners/20260922T010039Z/fs_T+085C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,fs,fs,res_typical,mimcap_typical,85,3.3,128,0x80,4.347018e+07,43.470180,2.300427e-08,ok,1200,sim/pvt/corners/20260922T010039Z/fs_T+085C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,fs,fs,res_typical,mimcap_typical,85,3.6,128,0x80,4.378564e+07,43.785640,2.283854e-08,ok,1200,sim/pvt/corners/20260922T010039Z/fs_T+085C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
